screen_name,name,statuses_count,followers_count,friends_count,listed_count,created_at,profile_image_url,location,url,description
CllrCrawford,Gary Crawford,3773,4129,524,188,Tue May 17 17:17:24 +0000 2011,https://pbs.twimg.com/profile_images/624317768674906112/h741p7ke.jpg,Toronto,http://t.co/94zzE9qBp2,"Toronto's Budget Chief and City Councillor for #Ward36, Scarborough Southwest / Email: councillor_crawford@toronto.ca  / Tweets delivered by me and my team."
mfragedakis,Mary Fragedakis,4451,5451,934,214,Wed May 04 14:54:53 +0000 2011,https://pbs.twimg.com/profile_images/1479457011/MaryFragedakis_headshot.jpg,"Toronto, Canada",http://t.co/qlI8g809lv,"Mary Fragedakis is the City Councillor for Ward 29, Toronto-Danforth"
hollandmichelle,Michelle Holland,5966,4641,783,180,Wed May 04 14:34:25 +0000 2011,https://pbs.twimg.com/profile_images/678349990289276929/-ocZvJV4.jpg,Scarborough,https://t.co/ATUUKk5U8a,"City Councillor for Ward 35, Scarborough Southwest, Chair Parks & Environment Committee"
mary_margaret32,MM McMahon,10152,6680,683,253,Fri Mar 18 18:25:11 +0000 2011,https://pbs.twimg.com/profile_images/554486144432627712/F3lIUA_U.png,,http://t.co/77gTZfH6Pq,
TTCchair,Transit Advocacy TO,3613,8719,321,316,Wed Jan 05 21:01:51 +0000 2011,https://pbs.twimg.com/profile_images/717880283270406144/7OFFSSaq.jpg,Toronto,https://t.co/uWk6hG13qj,Advocating for proper Toronto transit planning by elected officials. No longer an official TTC account. For TTC operational info: @TTChelps @TTCnotices.
TorontoRobFord,Rob Ford,3873,208575,988,1520,Fri Nov 12 15:30:01 +0000 2010,https://pbs.twimg.com/profile_images/712458345349668864/9RoDxltj.jpg,City of Toronto,http://t.co/0fvF7CWaUO,Councillor for Ward 2 in the City of Toronto
gordperks,Gord Perks,14844,11030,1517,420,Tue Aug 31 16:57:58 +0000 2010,https://pbs.twimg.com/profile_images/1467554185/Picture_1.png,"Toronto, Ontario",http://t.co/3tqOxeFPNo,City Councillor for Ward 14 Parkdale-High Park.
PeterMilczyn,Peter Milczyn,3188,5103,513,233,Wed Aug 11 04:28:13 +0000 2010,https://pbs.twimg.com/profile_images/639111541820780544/Lmer6RAE.jpg,Etobicoke-Lakeshore,https://t.co/nPLm3PitQC,"Member of Provincial Parliament for the riding of Etobicoke-Lakeshore, Architecture/Urban design maven, Foodie, Polyglot. #ONpoli"
MariaAugimeri,Maria Augimeri,1753,6281,428,248,Fri Jul 30 19:26:19 +0000 2010,https://pbs.twimg.com/profile_images/1106531859/maria.jpg,Ward 9 - York Centre,http://t.co/5NqVOhRGnL,"Maria Augimeri - City Councillor, Downsview. North York Community Council, Chair. Toronto and Region Conservation Authority, Chair."
norm,Norm Kelly,13717,280529,899,895,Tue Jul 06 18:46:33 +0000 2010,https://pbs.twimg.com/profile_images/1303276327/twitpic.jpg,Toronto ,https://t.co/G5ZR3dtXoO,"City of Toronto Councillor, Ward 40                               Mrs. Kelly's Favourite Son"
vcrisanti,Vincent Crisanti,1779,2638,144,169,Tue Jun 15 21:14:11 +0000 2010,https://pbs.twimg.com/profile_images/1275908996/Vincent_Crisanti-2010.JPG,"Etobicoke, Ontario",http://t.co/qmSHzt5OBt,"Toronto City Councillor for #Ward 1, Etobicoke-North. Official email: councillor_crisanti@toronto.ca / Tweets delivered by me and my team."
JayeRobinson,Jaye Robinson,4878,5243,445,249,Sat May 15 19:49:11 +0000 2010,https://pbs.twimg.com/profile_images/661576162842247168/KS3XUren.jpg,"Toronto, ON",http://t.co/hPtaxb1gwh,"Toronto City Councillor, Public Works Chair, Exec. Committee, AGO Board, CFC Board, Ward 25er."
Janet_Davis,Janet Davis,7129,7700,600,301,Fri Apr 09 13:49:15 +0000 2010,https://pbs.twimg.com/profile_images/713076326735945728/6VBGBhiB.jpg,Toronto,http://t.co/Abl7qFFcgW,Working with you to build our community as City Councillor for Ward 31.
anabailaoTO,Ana Bailao,6790,7617,1144,319,Thu Feb 18 21:13:47 +0000 2010,https://pbs.twimg.com/profile_images/451797310645628928/vxgiTazz.jpeg,"Ward 18, Davenport",https://t.co/Mq5GgTh9V2,Proud #Davenport resident & Portuguese-Canadian. Housing & social equity advocate. Lifelong community builder. City Councillor #Ward18
johnparkerex,John Parker,11435,2997,334,161,Sat Feb 06 20:51:04 +0000 2010,https://pbs.twimg.com/profile_images/683791250/untitled.bmp,,,
DoucetteWard13,Sarah Doucette,17132,6275,352,286,Fri Jan 22 22:33:01 +0000 2010,https://pbs.twimg.com/profile_images/1151550047/Sarah1_copy.jpg,,http://t.co/Zbm8XwalNB,Toronto City Councillor for Ward 13
KarenStintz,Karen Stintz,3129,18547,256,466,Thu Jan 14 20:27:44 +0000 2010,https://pbs.twimg.com/profile_images/694231870184275968/ePNQ_fku.jpg,#Toronto,,President and CEO for Variety Village
PaulaFletcher30,Paula Fletcher,7425,5208,597,234,Fri Oct 30 14:11:18 +0000 2009,https://pbs.twimg.com/profile_images/603236309570822144/zo49-Hc2.jpg,"Ward 30, Toronto",http://t.co/pH2HoH0a9H,"Toronto City Councillor working with you to make #Ward30 a safe, green, and thriving community."
m_layton,Mike Layton,10562,21469,816,653,Mon Aug 10 15:50:52 +0000 2009,https://pbs.twimg.com/profile_images/535472150568640512/IaMnBHyY.jpeg,Toronto,https://t.co/04jWU7KeFW,"Engaged Torontonian, environmentalist & community activist. Cyclist. Amateur chef. Proud dad to Phoebe. Toronto City Councillor - Ward 19."
shelleycarroll,Shelley Carroll,24816,11970,2042,493,Wed Jun 03 20:02:36 +0000 2009,https://pbs.twimg.com/profile_images/527310899837927424/DjrHivng.jpeg,Toronto,https://t.co/xcBTMVi8sG,Toronto Councillor building a City for my grandkids' future. Our children ARE our future! Access My staff immediately via @ward33team
ward39,Mike Del Grande,,408,,47,Thu May 28 13:17:57 +0000 2009,https://abs.twimg.com/sticky/default_profile_images/default_profile_0.png,,,
CetaR,C Ramkhalawansingh,4305,1257,615,55,Thu Apr 30 20:41:11 +0000 2009,https://pbs.twimg.com/profile_images/438882988/Ceta_photo__Queen_Street_.JPG,Toronto,,"Social justice feminist + anti-racist activist. Interests include: land use, social housing, heritage, environment, diversity, human rights, literacy, urbanism."
j_maloney,James Maloney MP,875,1523,1887,81,Sat Apr 18 15:32:59 +0000 2009,https://pbs.twimg.com/profile_images/697847545796681729/Db9GX5AW.jpg,"Ontario, Canada",https://t.co/lcJ1NtjNMk,Federal Member for Etobicoke-Lakeshore
JoshColle,Josh Colle,6707,7655,1826,274,Mon Mar 30 14:22:05 +0000 2009,https://pbs.twimg.com/profile_images/672610068504944640/KhuVsqpp.jpg,Toronto,http://t.co/xM57czs799,Toronto Councillor. TTC Chair.           councillor_colle@toronto.ca                                                                      TTC Info: 416-393-3030
Mark_Grimes,Mark Grimes,5815,6201,2422,221,Wed Mar 18 16:23:40 +0000 2009,https://pbs.twimg.com/profile_images/692049946753765376/WdQGQMJm.jpg,"Toronto, Ontario",https://t.co/Tn059jN8oa,"City Councillor - Ward 6 | Chair, @ExPlaceTO | Hockey Hall of Fame BOD | Toronto Sports Fan | Father of five and proud owner of a small petting zoo."
cllrainslie,Paul Ainslie,92380,8592,3909,468,Sun Feb 22 01:59:16 +0000 2009,https://pbs.twimg.com/profile_images/2888010226/df8d6445c5af01219b82aa9f0a2a971e.jpeg,www.paulainslie.com,http://t.co/x51QDnab5y,"Toronto City Councillor (Ward 43, Scarborough East)"
kristynwongtam,Kristyn Wong-Tam,28410,19223,2278,680,Mon Feb 09 17:56:46 +0000 2009,https://pbs.twimg.com/profile_images/814680677/kwtsavestransitcity-1.jpg,"Toronto, Turtle Island ",http://t.co/oCbsVP2RCs,Progressive. Urbanist. Unapologetic. Champion of all things #Toronto. #HumanRights #Expo2025 #PublicSpace #EcDev Profanity not welcome. RT NOT endorsements
DenzilMW,Denzil Minnan-Wong,2160,7180,257,302,Tue Feb 03 12:29:49 +0000 2009,https://pbs.twimg.com/profile_images/580850132628955137/i3NymV8-.jpg,Toronto,,You might think that.  I couldn't possibly comment.
joemihevc,Joe Mihevc,6695,8372,694,395,Fri Jan 23 12:59:39 +0000 2009,https://pbs.twimg.com/profile_images/574723874857816064/Y3xjIcTB.jpeg,Toronto,https://t.co/JYpxprJfpC,"Toronto City Councillor for Ward 21 St Paul's. Passions: social justice, public health, transit, community engagement & capacity building. Arts-lover. Cyclist."
JamesPasternak,James Pasternak,4987,4513,1849,219,Thu Jan 22 01:59:57 +0000 2009,https://pbs.twimg.com/profile_images/73154978/Katz_Bris__signs_and_David_Miller_017.JPG,Toronto,http://t.co/8Tnc9l3AKN,"City of Toronto Councillor, Ward 10 (York Centre)"
ward37,Michael Thompson ,11,1585,1,134,Thu Dec 11 18:08:36 +0000 2008,https://pbs.twimg.com/profile_images/67115705/mthompson.jpg,City Hall Toronto,,Councillor Ward 37 Scarborough Center Working for you at City Hall!
JoshMatlow,Josh Matlow,25346,14053,87,566,Thu Aug 14 00:18:09 +0000 2008,https://pbs.twimg.com/profile_images/716805476554563584/ayWdgQJ_.jpg,Toronto,https://t.co/JeyW4ukz32,"Community Advocate & Toronto City Councillor for Ward 22. Bringing a socially progressive, fiscally responsible & centrist approach to city hall."
