screen_name,name,statuses_count,followers_count,friends_count,listed_count,created_at,profile_image_url,location,url,description
PamMcConnell28,Pam McConnell,1085,2403,1453,100,Tue Jul 29 13:18:07 +0000 2014,https://pbs.twimg.com/profile_images/621767027078762496/FZCxl0Br.png,Toronto,http://pammcconnell.ca/,"Deputy Mayor, Toronto City Councillor Ward 28 #TOpoli for assistance please contact councillor_mcconnell@toronto.ca or 416-392-7916 //  posts from me & my team"
stephenholyday,Stephen Holyday,23,433,,49,Wed Sep 03 01:15:54 +0000 2014,https://pbs.twimg.com/profile_images/506975848910450688/jke8yuAq.jpeg,"Toronto, Ontario, Canada",http://www.holyday.ca/,Toronto Ward 3 City Councillor
norm,Norm Kelly,13717,280518,899,895,Tue Jul 06 18:46:33 +0000 2010,https://pbs.twimg.com/profile_images/1303276327/twitpic.jpg,Toronto ,https://www.instagram.com/normkelly/,"City of Toronto Councillor, Ward 40                               Mrs. Kelly's Favourite Son"
DoucetteWard13,Sarah Doucette,17132,6275,352,286,Fri Jan 22 22:33:01 +0000 2010,https://pbs.twimg.com/profile_images/1151550047/Sarah1_copy.jpg,,http://www.ward13.ca,Toronto City Councillor for Ward 13
TorontoRobFord,Rob Ford,3873,208570,988,1520,Fri Nov 12 15:30:01 +0000 2010,https://pbs.twimg.com/profile_images/712458345349668864/9RoDxltj.jpg,City of Toronto,http://www.torontorobford.ca,Councillor for Ward 2 in the City of Toronto
m_layton,Mike Layton,10562,21469,816,653,Mon Aug 10 15:50:52 +0000 2009,https://pbs.twimg.com/profile_images/535472150568640512/IaMnBHyY.jpeg,Toronto,http://mikelayton.to/,"Engaged Torontonian, environmentalist & community activist. Cyclist. Amateur chef. Proud dad to Phoebe. Toronto City Councillor - Ward 19."
vcrisanti,Vincent Crisanti,1779,2638,144,169,Tue Jun 15 21:14:11 +0000 2010,https://pbs.twimg.com/profile_images/1275908996/Vincent_Crisanti-2010.JPG,"Etobicoke, Ontario",http://vincentcrisanti.ca/,"Toronto City Councillor for #Ward 1, Etobicoke-North. Official email: councillor_crisanti@toronto.ca / Tweets delivered by me and my team."
CarmichaelGreb,C Carmichael Greb,1023,1188,739,58,Tue Jan 06 13:42:19 +0000 2009,https://pbs.twimg.com/profile_images/553612326016802816/AtGcOUPl.jpeg,"Toronto, ON",http://carmichaelgreb.com/,"Councillor Ward 16, Eglinton-Lawrence"
anabailaoTO,Ana Bailao,6790,7617,1144,319,Thu Feb 18 21:13:47 +0000 2010,https://pbs.twimg.com/profile_images/451797310645628928/vxgiTazz.jpeg,"Ward 18, Davenport",http://www.anabailao.com,Proud #Davenport resident & Portuguese-Canadian. Housing & social equity advocate. Lifelong community builder. City Councillor #Ward18
JohnTory,John Tory,13149,106102,635,1099,Fri Nov 13 18:27:02 +0000 2009,https://pbs.twimg.com/profile_images/672044523581808640/pEjir44W.jpg,Toronto,http://www.johntory.ca,Mayor of Toronto
gordperks,Gord Perks,14844,11030,1517,420,Tue Aug 31 16:57:58 +0000 2010,https://pbs.twimg.com/profile_images/1467554185/Picture_1.png,"Toronto, Ontario",http://gordperks.ca/,City Councillor for Ward 14 Parkdale-High Park.
mary_margaret32,MM McMahon,10152,6680,683,253,Fri Mar 18 18:25:11 +0000 2011,https://pbs.twimg.com/profile_images/554486144432627712/F3lIUA_U.png,,http://councillormcmahon.com,
JayeRobinson,Jaye Robinson,4878,5243,445,249,Sat May 15 19:49:11 +0000 2010,https://pbs.twimg.com/profile_images/661576162842247168/KS3XUren.jpg,"Toronto, ON",http://jayerobinson.ca/,"Toronto City Councillor, Public Works Chair, Exec. Committee, AGO Board, CFC Board, Ward 25er."
jimkarygiannis,Jim Karygiannis,2836,3252,145,133,Thu Mar 10 07:54:47 +0000 2011,https://pbs.twimg.com/profile_images/1517107011/Picture001.jpg,Toronto,http://www.karygiannis.net,Hon. Jim Karygiannis Toronto Councillor Ward 39 Scarborough-Agincourt
mfragedakis,Mary Fragedakis,4451,5451,934,214,Wed May 04 14:54:53 +0000 2011,https://pbs.twimg.com/profile_images/1479457011/MaryFragedakis_headshot.jpg,"Toronto, Canada",http://maryfragedakis.com,"Mary Fragedakis is the City Councillor for Ward 29, Toronto-Danforth"
joe_cressy,Joe Cressy,7813,5798,726,158,Sat Nov 19 04:07:48 +0000 2011,https://pbs.twimg.com/profile_images/621322310113447936/5tA8cquP.jpg,,http://www.joecressy.com,"City Councillor, Ward 20. Torontonian. Cyclist. Canoeist. Internationalist. Recent convert to vinyl."
JustinDiCiano,Justin J. Di Ciano,1073,1753,465,61,Tue May 31 05:16:50 +0000 2011,https://pbs.twimg.com/profile_images/681339601865326592/If1DkOft.jpg,Ward 5 Etobicoke,http://www.councillordiciano.ca,"Father, Husband, Feminist, Advocate for the Sharing Economy, Proud Supporter of LGBT Rights, Rotarian & Anti-Establishment City Councillor in Toronto."
rcho42,Cllr Raymond Cho,624,2590,158,144,Thu Mar 08 16:55:44 +0000 2012,https://pbs.twimg.com/profile_images/601451686981337088/Pj0iQtqT.png,Toronto,http://raymondcho.com/,"Toronto City Councillor. Ward 42, Scarborough-Rouge River"
PerruzzaTO,Anthony Perruzza,883,2006,933,101,Thu Oct 18 14:58:58 +0000 2012,https://pbs.twimg.com/profile_images/506815721758654465/_mw8FlSV.jpeg,,http://www.anthonyperruzza.com/site/,"City of Toronto Councillor,       Ward 8.  http://t.co/EtzgJwAkcI  . 
Call me at: 416-338-5335"
